QUERIES	CATEGORY	REPLY
Whether all the selected participants of theme will get certificate or only the teams selected for finals will get certificates	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir, will the certificates be provided only for the finalista or to all the participates of stage 1 ?"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Good morning sir! As we were held up with our college work we were unable to ship back the kit.Now what should we do to get the certificates? Team id:4012	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
When we are going to receive the certificates ? and tshirt if possible.	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"Upload the video now on portal by today midnight for certification. We are continously asked to fill NOC/NDA Etc..but we didn't get NOC Certificate,and as discussed above we even checked in our spam box,so how can we get all those certificates now?"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Dear sir, We were mentioned that we would be given completion certificate.But we haven't recerived it till date.And also since our semesters have ended, we have gone home, can u please mention the tentative dates when we will receive them so that we could inform our college"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
Respected Sir/ Ma'am Our team id is #NT-1762. We have not received any notification about our certificates. I would request you to confirm the status of the same.	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"regarding certificate Hello It is stated in the portal that, we are eligible for the letter of participation. We haven't recieved it yet. Also, are we eligible for eyantra goodies? Thank u for ur time Appreciate it. Team id NT #164"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
I received the certificate but it is in my father's name and not mine. Rest of my team members have received correctly spelled certificates. Please advise	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
we had participated in the competition but somehow we fail to enter in task 2. we had completed the previous task. Do our team get the certificate of participation.	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Please deliver the certificates as soon as possible as we have to show them in our college ( Plz dont forget the goodies ).	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
We haven't received the certificates yes. Please look into the problem and let us know by when we'll be getting it. Our semester is ending and we are supposed to produce the competition certificate as a proof that we did work for the competition.	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
We haven't received the certificate and goodies yet either. When will we receive it?	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
One of the teams in our college have received their participation certificate along with their goodies but we haven't received our completion certificate yet.When will we receive it??	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"sir, we could not qualify in the final but we have been told of getting participation certificate and earlier it was mentioned of getting branded goodies,, sir plss we r eagerly waiting for our rewards.thanking u.."	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"sir, we could not qualify in the final but we have been told of getting participation certificate and earlier it was mentioned of getting branded goodies,, sir plss we r eagerly waiting for our rewards. thanking u.."	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
Every team in our college have received goodies and certificate except our team.Cc-#103	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
in the eyantra portal it was mentioned that our team is eligible for letter of participation. We were earlier told that we would get participation certificate. We had not completed the task but submitted the code and a video showing whatever we managed to do. Kindly clarify this at the earliest.	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Dear sir, When will we be receiving our completion certificate?What will be the mode of delivery? And will we be receiving any goodies along with it??Thanking u"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"Sir, unfortunately we couldnt qaulify for finals , but when are we going to get our certificate and goodies?Will they be delivered to our home address?"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
WHen we will receive our completion certificate and goodies	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
we are very sorry for completing the task so late. But i have uploaded the code folder on portal. I m not able to upload the youtube link on portal as it  is showing error. I have mailed the youtube link on helpdesk. Please consider the request for certificate of participation.\Team id: MT#2575	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Respected Sir/Ma'am, We unknowingly crossed the submission deadline of 5th March 2017. Till when exactly are we allowed to submit our video and do we remain eligible for the completion certificate?If yes, then till what date can we submit thet video? Regards, Team 1340"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"As the absolute deadline was march 5, we know we cannot make it to the finals but up to what date can we submit the task 5 video to get a certificate of completion or certificate of participation?"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Respected sir unfortunately we couldn't complete the task on given date, but now we have completed it. Can we submit the solution for certificate of participation ? "	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Respected Sir, We would like to know will we get a participation certificate if we have reached stage 2 irrespective of score if it is less than 70%. Our team id is lm#2447.Please do reply as soon as possible.We also haven't submitted video for stage 2."	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir we have not yet received the certificates,but some teams from my class has received the certificates.what we do now sir ? team I'd 2320 "	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"Sir, Our team has strived hard for Stage1. Unfortunately we have not selected for Stage2. Please inform us about the participation certificate ."	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir, You had mentioned that we will be given certificates and goodies if qualified for second stage.But we haven't received any certificates or goodies along with the robotic kit? Will we get them separately ? Thanks"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"Sir, You had mentioned that we will be given certificates and goodies if qualified for second stage.But we haven't received any certificates or goodies along with the robotic kit? Will we get them separately ? Thanks"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"eYRC-CC#5257 Sir, Our team is eligible for participation certificate, when will our team receive the same?"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"sir, We have finished all modules except one in task1.We have done that section of task1 now but the deadline is over.You have said every section of task should be 70% or more.Since we havent done that one section, will we get the participation certificate??What will be the stage 2 selection criteria??Will it be same or will it be based on the overall stage1 tasks If we submit that one section of task1 now ,will it be considered for participation certificate??"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir, for task1 ,we got 100% output for section1 and section2 ,but we were not able to finish section3 more than70% can we submit it now??"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir, When will we be issued our participation certificates.?"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
Our team selected for finals at iit bombay and won the certificate but we missed the eYSIP. whem we will get it	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"Sir, By when can we receive the participation certificates?"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"are all the teams required to return the robot? if yes, please give the detailed information about this. when would we get the certificates for which we are eligible?"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"sir,we have submitted the code as well as video. We have just joined several clips as we could not complete whole task.You could see that in our code that we tried our level best but we could not accomplish task on time.Please take look at our code then please decide whether we are eligible for certificate or not.Our team id is eyrc 17."	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Please let us know how and when will we recieve certificate	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"sir, we have submitted entire tasks but it is said there will be no certificate provided,and we have submitted video with penalty and we have given 420 marks and we are requesting to provide at least certificates"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"We know it is against the rules, but we would like to request you to atleast provide participation certificates to all such teams whose effort were wasted in the end due to hardware issues which couldn't be resolved just before commencement of task"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Even, if you have a partial solution, we would still like to have a look at it. Your team, still stands in contention for certificates based on your cumulative performance. "	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
 we would also submit another video of the bot turning a block separetely just to show tat we have done that part. we just want to know whether we would be given atleast a participation certificate.	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
We have not received the previous year's(2014) e-Yantra participation certificates. Kindly ensure that we get those as soon as possible. the project was Weeding Robot .	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
I take this platform to raise the issue of improper certification scheme of the e-yantra committee. Moreover the tasks prior to task 6 were hard enough to demand a certificate of appreciation.Our team submitted all the tasks(upto task 5) with full enthusiasm prior to deadline to grab the peak position but due to unforeseen circumstances we weren't able to submit task 6. And then we realize that all our hardwork shall now go in vein as we won't be even certified for all the tasks submitted.	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Dear Participants, Certificate status has been updated on the Portal. Please visit the score card tab on the Portal."	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
When will be the result for certificates be declared for the teams who didn't qualify for the finals ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"Sir, we were not selected for the semifinals. Will we get any certificate ?"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"There are total 400 teams for eYRC+. So how many of them are going to be selected ?? Or the selection is theme-wise i.e. separate selection for PS1,PS2,etc?? please explain the selection process and eligibility for certificates."	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Team submitting the task after the first 5 days of the deadline will be awarded a score of 0. But they can continue to learn and participate in the competition. Note that teams who have submitted all tasks in Stage1 and Stage2 satisfactorily are eligible for participation certificates.	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
